pathway	gene	human_genes
Chromatin / Epigenetic	Dnmt3a	DNMT3A
RTK / Growth Signals	Erbb2	ERBB2
RTK / Growth Signals	Met	MET
RTK / Growth Signals	Fgfr1	FGFR1
RTK / Growth Signals	Fgfr2	FGFR2
Notch	Notch1	NOTCH1
Notch	Notch2	NOTCH2
Cell Cycle	Ccnd1	CCND1
Cell Cycle	Cdk4	CDK4
Cell Cycle	Cdk6	CDK6
EMT / Invasion	Snai1	SNAI1
EMT / Invasion	Snai2	SNAI2
EMT / Invasion	Zeb1	ZEB1
EMT / Invasion	Zeb2	ZEB2
EMT / Invasion	Twist1	TWIST1
EMT / Invasion	Cdh1	CDH1
EMT / Invasion	Mmp9	MMP9
EMT / Invasion	Cxcr4	CXCR4
EMT / Invasion	S100a4	S100A4
Metabolism	Idh1	IDH1
Metabolism	Sdhb	SDHB
Cytokine signalling	Il16	IL16
Cytokine signalling	Il13ra1	IL13RA1
Robles 2016	Trp53	TP53
Robles 2016	Kras	KRAS
Robles 2016	Smad4	SMAD4
Robles 2016	Smad2	SMAD2
Robles 2016	Sox9	SOX9
Robles 2016	Pik3ca	PIK3CA
Robles 2016	Mtor	MTOR
Robles 2016	Prex2	PREX2
Robles 2016	Apc	APC
Robles 2016	Ep300	EP300
Robles 2016	Trrap	TRRAP
Robles 2016	Ubr5	UBR5
Robles 2016	Ctnnd2	CTNND2
Robles 2016	Ptprf	PTPRF
Robles 2016	Radil	RADIL
Robles 2016	Dock2	DOCK2
Robles 2016	Dock3	DOCK3
Robles 2016	Dscaml1	DSCAML1
Robles 2016	Nrg1	NRG1
Robles 2016	Tpo	TPO
Robles 2016	Il16	IL16
Robles 2016	Rims2	RIMS2
Robles 2016	Cacna1d	CACNA1D
Robles 2016	Srrm4	SRRM4
Robles 2016	Csmd2	CSMD2
Robles 2016	Csmd3	CSMD3
Robles 2016	Tut7	TUT7
Robles 2016	Rrbp1	RRBP1
