gene_name	sample	cnval	status	sample.id	progression
FZD4	6646.P12C-B	0.721275	Gain	P12C-B	P
FZD6	6646.P12C-B	0.737775	Gain	P12C-B	P
FZD6	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
FZD6	33105.NP41	0.657091666666667	Gain	NP41	NP
FZD6	9351.P4-B	0.829075	Gain	P4-B	P
FZD6	9351.P4-C	0.998325	Gain	P4-C	P
FZD6	9351.P4-F	0.788958333333334	Gain	P4-F	P
FZD6	9351.P4-D	0.684358333333333	Gain	P4-D	P
FZD6	9351.P4-A	1.087175	Gain	P4-A	P
FZD6	9351.P4-E	1.028825	Gain	P4-E	P
FZD9	0624.P17-F	0.618525	Gain	P17-F	P
HLA-B	0624.P17-A	0.586275	Gain	P17-A	P
HLA-B	0624.P17-B	0.644658333333333	Gain	P17-B	P
HLA-B	0624.P17-C	0.664241666666667	Gain	P17-C	P
HLA-B	0624.P17-G	0.609991666666667	Gain	P17-G	P
HLA-B	0624.P17-D	0.622725	Gain	P17-D	P
KMT2C	9467.P14G-A	0.646275	Gain	P14G-A	P
LRP5	6646.P12C-B	0.721275	Gain	P12C-B	P
MET	9467.P14G-A	0.646275	Gain	P14G-A	P
MLH1	0624.P17-F	0.817625	Gain	P17-F	P
MLH1	0624.P17-G	0.585491666666667	Gain	P17-G	P
MMP9	7499.P15B	0.848908333333333	Gain	P15B	P
MMP9	7499.P15A	1.321075	Gain	P15A	P
MMP9	1237.P16B-1	0.585075	Gain	P16B-1	P
MMP9	78843.NP45-A	0.813275	Gain	NP45-A	NP
MMP9	13.NC_VA23	0.633741666666667	Gain	NC_VA23	P
MUTYH	9467.P14G-A	0.785175	Gain	P14G-A	P
MUTYH	2004_OP4-A2.2004_OP4-A2	1.12190833333333	Gain	2004_OP4-A2	P
MYC	6646.P12C-B	0.885575	Gain	P12C-B	P
MYC	7499.P15C	1.74109166666667	Amplification	P15C	P
MYC	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
MYC	3611.P9E	2.770775	Amplification	P9E	P
MYC	0624.P17-F	0.760425	Gain	P17-F	P
MYC	0624.P17-G	0.843091666666667	Gain	P17-G	P
MYC	0624.P17-H	0.616525	Gain	P17-H	P
MYC	33105.NP41	0.657091666666667	Gain	NP41	NP
MYC	9351.P4-B	0.829075	Gain	P4-B	P
MYC	9351.P4-C	0.998325	Gain	P4-C	P
MYC	9351.P4-F	0.788958333333334	Gain	P4-F	P
MYC	9351.P4-D	0.684358333333333	Gain	P4-D	P
MYC	9351.P4-A	1.087175	Gain	P4-A	P
MYC	9351.P4-E	1.028825	Gain	P4-E	P
MYC	11.NC_VA9	2.67134166666667	Amplification	NC_VA9	P
MYC	13.NC_VA20	0.645808333333333	Gain	NC_VA20	P
NBEA	9351.P4-B	0.611075	Gain	P4-B	P
NBEA	9351.P4-C	0.683425	Gain	P4-C	P
NBEA	9351.P4-A	0.795275	Gain	P4-A	P
NBEA	9351.P4-E	0.778025	Gain	P4-E	P
NBEA	1002_BP2-A1.1002_BP2-A1	1.23734166666667	Gain	1002_BP2-A1	P
NRG1	6646.P12C-B	0.633675	Gain	P12C-B	P
PCDH9	9351.P4-B	0.611075	Gain	P4-B	P
PCDH9	9351.P4-C	0.683425	Gain	P4-C	P
PCDH9	9351.P4-A	0.795275	Gain	P4-A	P
PCDH9	9351.P4-E	0.778025	Gain	P4-E	P
PCDH9	1002_BP2-A1.1002_BP2-A1	1.23734166666667	Gain	1002_BP2-A1	P
PIK3CA	8510.P10-A	0.617358333333333	Gain	P10-A	P
PIK3CA	8510.P10-B	0.795591666666667	Gain	P10-B	P
PIK3R1	7499.P15A	-1.023625	Loss	P15A	P
PMS2	0624.P17-C	0.613141666666667	Gain	P17-C	P
PMS2	0624.P17-F	0.618525	Gain	P17-F	P
PMS2	0624.P17-G	0.732691666666667	Gain	P17-G	P
PMS2	0624.P17-E	0.622775	Gain	P17-E	P
PMS2	0624.P17-H	0.763325	Gain	P17-H	P
POLD1	9467.P14D-A	0.643508333333333	Gain	P14D-A	P
PREX2	33105.NP41	0.657091666666667	Gain	NP41	NP
PREX2	9351.P4-B	0.829075	Gain	P4-B	P
PREX2	9351.P4-C	0.998325	Gain	P4-C	P
PREX2	9351.P4-F	0.788958333333334	Gain	P4-F	P
PREX2	9351.P4-D	0.684358333333333	Gain	P4-D	P
PREX2	9351.P4-A	1.087175	Gain	P4-A	P
PREX2	9351.P4-E	1.028825	Gain	P4-E	P
PTPRF	9467.P14G-A	0.785175	Gain	P14G-A	P
PTPRF	2004_OP4-A2.2004_OP4-A2	1.12190833333333	Gain	2004_OP4-A2	P
RADIL	0624.P17-C	0.613141666666667	Gain	P17-C	P
RADIL	0624.P17-F	0.618525	Gain	P17-F	P
RADIL	0624.P17-G	0.732691666666667	Gain	P17-G	P
RADIL	0624.P17-E	0.622775	Gain	P17-E	P
RADIL	0624.P17-H	0.763325	Gain	P17-H	P
RB1	9351.P4-B	0.611075	Gain	P4-B	P
RB1	9351.P4-C	0.683425	Gain	P4-C	P
RB1	9351.P4-A	0.795275	Gain	P4-A	P
RB1	9351.P4-E	0.778025	Gain	P4-E	P
RB1	1002_BP2-A1.1002_BP2-A1	1.23734166666667	Gain	1002_BP2-A1	P
RIMS2	6646.P12C-B	0.737775	Gain	P12C-B	P
RIMS2	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
RIMS2	33105.NP41	0.657091666666667	Gain	NP41	NP
RIMS2	9351.P4-B	0.829075	Gain	P4-B	P
RIMS2	9351.P4-C	0.998325	Gain	P4-C	P
RIMS2	9351.P4-F	0.788958333333334	Gain	P4-F	P
RIMS2	9351.P4-D	0.684358333333333	Gain	P4-D	P
RIMS2	9351.P4-A	1.087175	Gain	P4-A	P
RIMS2	9351.P4-E	1.028825	Gain	P4-E	P
RRBP1	13.NC_VA23	0.633741666666667	Gain	NC_VA23	P
RSPO1	9467.P14G-A	0.785175	Gain	P14G-A	P
RSPO1	0624.P17-A	1.418875	Gain	P17-A	P
RSPO1	0624.P17-B	1.48275833333333	Gain	P17-B	P
RSPO1	0624.P17-C	1.55704166666667	Gain	P17-C	P
RSPO1	0624.P17-F	1.189725	Gain	P17-F	P
RSPO1	0624.P17-G	1.45369166666667	Gain	P17-G	P
RSPO1	0624.P17-E	1.449375	Gain	P17-E	P
RSPO1	0624.P17-H	1.504425	Gain	P17-H	P
RSPO1	0624.P17-D	1.532725	Gain	P17-D	P
RSPO1	2004_OP4-A2.2004_OP4-A2	0.633108333333333	Gain	2004_OP4-A2	P
RSPO2	6646.P12C-B	0.737775	Gain	P12C-B	P
RSPO2	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
RSPO2	33105.NP41	0.657091666666667	Gain	NP41	NP
RSPO2	9351.P4-B	0.829075	Gain	P4-B	P
RSPO2	9351.P4-C	0.998325	Gain	P4-C	P
RSPO2	9351.P4-F	0.788958333333334	Gain	P4-F	P
RSPO2	9351.P4-D	0.684358333333333	Gain	P4-D	P
RSPO2	9351.P4-A	1.087175	Gain	P4-A	P
RSPO2	9351.P4-E	1.028825	Gain	P4-E	P
RSPO4	0624.P17-H	0.586825	Gain	P17-H	P
RSPO4	13.NC_VA23	0.633741666666667	Gain	NC_VA23	P
S100A4	0624.P17-F	0.622225	Gain	P17-F	P
S100A4	8510.P10-A	0.765358333333333	Gain	P10-A	P
S100A4	8510.P10-B	0.727491666666667	Gain	P10-B	P
SFRP1	33105.NP41	0.673491666666667	Gain	NP41	NP
SFRP1	2001_OP1-A.2001_OP1-A	1.38950833333333	Gain	2001_OP1-A	P
SFRP4	0624.P17-C	0.613141666666667	Gain	P17-C	P
SFRP4	0624.P17-F	0.618525	Gain	P17-F	P
SMAD2	8510.P10-A	1.68295833333333	Amplification	P10-A	P
SMAD2	8510.P10-B	2.03109166666667	Amplification	P10-B	P
SNAI1	7499.P15B	0.848908333333333	Gain	P15B	P
SNAI1	7499.P15A	1.321075	Gain	P15A	P
SNAI1	1237.P16B-1	0.585075	Gain	P16B-1	P
SNAI1	78843.NP45-A	0.813275	Gain	NP45-A	NP
SNAI1	13.NC_VA23	0.633741666666667	Gain	NC_VA23	P
SNAI1	1002_BP2-A1.1002_BP2-A1	0.976241666666667	Gain	1002_BP2-A1	P
SNAI2	9351.P4-B	0.829075	Gain	P4-B	P
SNAI2	9351.P4-C	0.998325	Gain	P4-C	P
SNAI2	9351.P4-F	0.788958333333334	Gain	P4-F	P
SNAI2	9351.P4-D	0.684358333333333	Gain	P4-D	P
SNAI2	9351.P4-A	1.087175	Gain	P4-A	P
SNAI2	9351.P4-E	1.028825	Gain	P4-E	P
TGFBR2	0624.P17-G	0.585491666666667	Gain	P17-G	P
TP63	8510.P10-A	0.617358333333333	Gain	P10-A	P
TP63	8510.P10-B	0.795591666666667	Gain	P10-B	P
TRRAP	9467.P14G-A	0.646275	Gain	P14G-A	P
TRRAP	0624.P17-F	0.618525	Gain	P17-F	P
TWIST1	0624.P17-C	0.613141666666667	Gain	P17-C	P
TWIST1	0624.P17-F	0.618525	Gain	P17-F	P
TWIST1	0624.P17-G	0.732691666666667	Gain	P17-G	P
TWIST1	0624.P17-E	0.622775	Gain	P17-E	P
TWIST1	0624.P17-H	0.763325	Gain	P17-H	P
UBR5	6646.P12C-B	0.737775	Gain	P12C-B	P
UBR5	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
UBR5	33105.NP41	0.657091666666667	Gain	NP41	NP
UBR5	9351.P4-B	0.829075	Gain	P4-B	P
UBR5	9351.P4-C	0.998325	Gain	P4-C	P
UBR5	9351.P4-F	0.788958333333334	Gain	P4-F	P
UBR5	9351.P4-D	0.684358333333333	Gain	P4-D	P
UBR5	9351.P4-A	1.087175	Gain	P4-A	P
UBR5	9351.P4-E	1.028825	Gain	P4-E	P
WNT11	6646.P12C-B	0.721275	Gain	P12C-B	P
WNT16	9467.P14G-A	0.646275	Gain	P14G-A	P
WNT2	9467.P14G-A	0.646275	Gain	P14G-A	P
WNT5B	1002_BP2-A1.1002_BP2-A1	0.686241666666667	Gain	1002_BP2-A1	P
ZC3H13	9351.P4-B	0.611075	Gain	P4-B	P
ZC3H13	9351.P4-C	0.683425	Gain	P4-C	P
ZC3H13	9351.P4-A	0.795275	Gain	P4-A	P
ZC3H13	9351.P4-E	0.778025	Gain	P4-E	P
ZC3H13	1002_BP2-A1.1002_BP2-A1	1.23734166666667	Gain	1002_BP2-A1	P
